record_id,vehicle_id,date,maintenance_type,failure_type,severity,parts_replaced,repair_cost,downtime_hours,technician_id,workshop_id,root_cause,action_taken,notes,next_maintenance_date
REC-VEH-1000-148,VEH-1000,2026-02-09T22:26:25.934851,preventive,engine,critical,"['oil filter', 'spark plugs', 'air filter', 'piston rings']",5317.31,70.4,TECH-015,WS-003,Wear and tear on engine components,"Replaced oil filter, spark plugs, air filter, piston rings",Routine critical maintenance,2026-04-09T22:26:25.934851
REC-VEH-1000-97,VEH-1000,2026-04-01T22:26:25.965475,preventive,engine,low,['air filter'],214.86,3.6,TECH-010,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2026-05-09T22:26:25.965475
REC-VEH-1000-70,VEH-1000,2026-04-28T22:26:25.966059,predictive,transmission,low,['gears'],269.01,1.2,TECH-013,WS-001,Wear and tear on transmission components,Replaced gears,Routine low maintenance,2026-07-17T22:26:25.966059
REC-VEH-1000-49,VEH-1000,2026-05-19T22:26:25.966344,preventive,brake,critical,"['calipers', 'brake rotors', 'brake fluid', 'brake pads']",5733.62,72.2,TECH-002,WS-001,Wear and tear on brake components,"Replaced calipers, brake rotors, brake fluid, brake pads",Routine critical maintenance,2026-07-19T22:26:25.966344
REC-VEH-1000-196,VEH-1000,2025-12-23T22:26:25.966512,predictive,transmission,low,['clutch'],223.85,2.6,TECH-005,WS-003,Wear and tear on transmission components,Replaced clutch,Routine low maintenance,2026-03-08T22:26:25.966512
REC-VEH-1000-91,VEH-1000,2026-04-07T22:26:25.966682,predictive,electrical,low,['alternator'],266.36,3.5,TECH-018,WS-003,Wear and tear on electrical components,Replaced alternator,Routine low maintenance,2026-06-23T22:26:25.966682
REC-VEH-1000-58,VEH-1000,2026-05-10T22:26:25.966837,corrective,electrical,medium,"['battery', 'starter motor']",871.59,7.1,TECH-005,WS-002,Wear and tear on electrical components,"Replaced battery, starter motor",Routine medium maintenance,2026-07-28T22:26:25.966837
REC-VEH-1000-166,VEH-1000,2026-01-22T22:26:25.966995,corrective,engine,low,['spark plugs'],245.54,1.6,TECH-017,WS-001,Wear and tear on engine components,Replaced spark plugs,Routine low maintenance,2026-03-26T22:26:25.966995
REC-VEH-1000-223,VEH-1000,2025-11-26T22:26:25.967133,predictive,transmission,medium,"['transmission fluid', 'synchros']",781.62,11.4,TECH-013,WS-004,Wear and tear on transmission components,"Replaced transmission fluid, synchros",Routine medium maintenance,2026-01-23T22:26:25.967133
REC-VEH-1000-224,VEH-1000,2025-11-25T22:26:25.967274,corrective,engine,medium,"['oil filter', 'spark plugs']",805.55,6.9,TECH-012,WS-002,Wear and tear on engine components,"Replaced oil filter, spark plugs",Routine medium maintenance,2026-01-26T22:26:25.967274
REC-VEH-1000-25,VEH-1000,2026-06-12T22:26:25.967410,preventive,electrical,low,['wiring harness'],280.58,1.0,TECH-019,WS-002,Wear and tear on electrical components,Replaced wiring harness,Routine low maintenance,2026-09-06T22:26:25.967410
REC-VEH-1000-30,VEH-1000,2026-06-07T22:26:25.967548,preventive,electrical,low,['alternator'],183.64,1.9,TECH-008,WS-003,Wear and tear on electrical components,Replaced alternator,Routine low maintenance,2026-07-24T22:26:25.967548
REC-VEH-1000-81,VEH-1000,2026-04-17T22:26:25.967687,preventive,engine,medium,"['piston rings', 'spark plugs']",806.53,6.1,TECH-008,WS-004,Wear and tear on engine components,"Replaced piston rings, spark plugs",Routine medium maintenance,2026-06-15T22:26:25.967687
REC-VEH-1000-286,VEH-1000,2025-09-24T22:26:25.968003,predictive,electrical,critical,"['battery', 'alternator', 'starter motor', 'wiring harness']",5678.92,72.6,TECH-008,WS-001,Wear and tear on electrical components,"Replaced battery, alternator, starter motor, wiring harness",Routine critical maintenance,2025-10-27T22:26:25.968003
REC-VEH-1001-195,VEH-1001,2025-12-24T22:26:25.968278,preventive,brake,high,"['brake fluid', 'brake rotors', 'brake pads']",2079.05,26.7,TECH-019,WS-003,Wear and tear on brake components,"Replaced brake fluid, brake rotors, brake pads",Routine high maintenance,2026-01-28T22:26:25.968278
REC-VEH-1001-315,VEH-1001,2025-08-26T22:26:25.968508,corrective,brake,critical,"['calipers', 'brake pads', 'brake fluid', 'brake rotors']",5586.62,75.6,TECH-006,WS-001,Wear and tear on brake components,"Replaced calipers, brake pads, brake fluid, brake rotors",Routine critical maintenance,2025-09-25T22:26:25.968508
REC-VEH-1001-346,VEH-1001,2025-07-26T22:26:25.968740,corrective,brake,low,['brake fluid'],266.42,3.0,TECH-018,WS-004,Wear and tear on brake components,Replaced brake fluid,Routine low maintenance,2025-09-18T22:26:25.968740
REC-VEH-1001-53,VEH-1001,2026-05-15T22:26:25.968961,preventive,engine,medium,"['oil filter', 'piston rings']",778.84,10.8,TECH-002,WS-002,Wear and tear on engine components,"Replaced oil filter, piston rings",Routine medium maintenance,2026-07-11T22:26:25.968961
REC-VEH-1001-300,VEH-1001,2025-09-10T22:26:25.969181,corrective,tire,low,['wheel bearings'],193.1,5.5,TECH-012,WS-004,Wear and tear on tire components,Replaced wheel bearings,Routine low maintenance,2025-11-06T22:26:25.969181
REC-VEH-1001-305,VEH-1001,2025-09-05T22:26:25.969420,corrective,tire,medium,"['TPMS sensors', 'tires']",627.57,7.3,TECH-015,WS-001,Wear and tear on tire components,"Replaced TPMS sensors, tires",Routine medium maintenance,2025-12-01T22:26:25.969420
REC-VEH-1001-359,VEH-1001,2025-07-13T22:26:25.969681,preventive,engine,low,['piston rings'],257.06,1.8,TECH-011,WS-001,Wear and tear on engine components,Replaced piston rings,Routine low maintenance,2025-10-07T22:26:25.969681
REC-VEH-1001-316,VEH-1001,2025-08-25T22:26:25.969910,predictive,engine,high,"['piston rings', 'oil filter', 'air filter']",2072.01,27.5,TECH-003,WS-003,Wear and tear on engine components,"Replaced piston rings, oil filter, air filter",Routine high maintenance,2025-09-27T22:26:25.969910
REC-VEH-1001-99,VEH-1001,2026-03-30T22:26:25.970128,predictive,engine,medium,"['piston rings', 'air filter']",758.66,7.0,TECH-002,WS-003,Wear and tear on engine components,"Replaced piston rings, air filter",Routine medium maintenance,2026-05-17T22:26:25.970128
REC-VEH-1001-18,VEH-1001,2026-06-19T22:26:25.970342,preventive,engine,low,['air filter'],253.78,3.5,TECH-012,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2026-08-02T22:26:25.970342
REC-VEH-1001-6,VEH-1001,2026-07-01T22:26:25.970562,preventive,electrical,high,"['wiring harness', 'alternator', 'battery']",1891.46,22.0,TECH-010,WS-004,Wear and tear on electrical components,"Replaced wiring harness, alternator, battery",Routine high maintenance,2026-08-24T22:26:25.970562
REC-VEH-1001-31,VEH-1001,2026-06-06T22:26:25.970795,predictive,engine,medium,"['air filter', 'oil filter']",680.95,10.5,TECH-012,WS-004,Wear and tear on engine components,"Replaced air filter, oil filter",Routine medium maintenance,2026-07-19T22:26:25.970795
REC-VEH-1002-163,VEH-1002,2026-01-25T22:26:25.971033,corrective,transmission,high,"['gears', 'transmission fluid', 'synchros']",1900.15,27.5,TECH-016,WS-001,Wear and tear on transmission components,"Replaced gears, transmission fluid, synchros",Routine high maintenance,2026-04-21T22:26:25.971033
REC-VEH-1002-245,VEH-1002,2025-11-04T22:26:25.971262,preventive,electrical,low,['battery'],209.24,1.6,TECH-008,WS-001,Wear and tear on electrical components,Replaced battery,Routine low maintenance,2025-12-12T22:26:25.971262
REC-VEH-1002-242,VEH-1002,2025-11-07T22:26:25.971489,corrective,engine,critical,"['spark plugs', 'piston rings', 'oil filter', 'air filter']",5493.18,73.5,TECH-015,WS-001,Wear and tear on engine components,"Replaced spark plugs, piston rings, oil filter, air filter",Routine critical maintenance,2025-12-15T22:26:25.971489
REC-VEH-1002-273,VEH-1002,2025-10-07T22:26:25.971721,preventive,engine,low,['air filter'],236.29,1.6,TECH-015,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2025-11-29T22:26:25.971721
REC-VEH-1002-118,VEH-1002,2026-03-11T22:26:25.971930,preventive,electrical,medium,"['alternator', 'battery']",865.13,8.0,TECH-014,WS-002,Wear and tear on electrical components,"Replaced alternator, battery",Routine medium maintenance,2026-05-06T22:26:25.971930
REC-VEH-1002-233,VEH-1002,2025-11-16T22:26:25.972142,predictive,engine,low,['air filter'],239.4,5.4,TECH-001,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2026-02-09T22:26:25.972142
REC-VEH-1002-176,VEH-1002,2026-01-12T22:26:25.972345,predictive,tire,medium,"['tires', 'wheel bearings']",712.06,9.0,TECH-011,WS-002,Wear and tear on tire components,"Replaced tires, wheel bearings",Routine medium maintenance,2026-03-31T22:26:25.972345
REC-VEH-1002-123,VEH-1002,2026-03-06T22:26:25.972546,preventive,engine,medium,"['oil filter', 'spark plugs']",839.79,6.4,TECH-005,WS-003,Wear and tear on engine components,"Replaced oil filter, spark plugs",Routine medium maintenance,2026-04-13T22:26:25.972546
REC-VEH-1002-49,VEH-1002,2026-05-19T22:26:25.972760,predictive,brake,medium,"['calipers', 'brake rotors']",659.82,9.8,TECH-019,WS-004,Wear and tear on brake components,"Replaced calipers, brake rotors",Routine medium maintenance,2026-07-24T22:26:25.972760
REC-VEH-1002-248,VEH-1002,2025-11-01T22:26:25.972974,corrective,electrical,high,"['wiring harness', 'battery', 'starter motor']",1991.89,26.8,TECH-019,WS-002,Wear and tear on electrical components,"Replaced wiring harness, battery, starter motor",Routine high maintenance,2026-01-02T22:26:25.972974
REC-VEH-1003-263,VEH-1003,2025-10-17T22:26:25.973193,predictive,electrical,high,"['alternator', 'wiring harness', 'battery']",1735.07,25.2,TECH-001,WS-002,Wear and tear on electrical components,"Replaced alternator, wiring harness, battery",Routine high maintenance,2025-11-16T22:26:25.973193
REC-VEH-1003-189,VEH-1003,2025-12-30T22:26:25.973393,corrective,tire,medium,"['tires', 'valve stems']",810.39,10.9,TECH-005,WS-004,Wear and tear on tire components,"Replaced tires, valve stems",Routine medium maintenance,2026-03-14T22:26:25.973393
REC-VEH-1003-56,VEH-1003,2026-05-12T22:26:25.973699,predictive,electrical,medium,"['battery', 'alternator']",792.58,6.3,TECH-002,WS-003,Wear and tear on electrical components,"Replaced battery, alternator",Routine medium maintenance,2026-06-30T22:26:25.973699
REC-VEH-1003-321,VEH-1003,2025-08-20T22:26:25.973928,corrective,brake,medium,"['brake rotors', 'calipers']",841.2,6.9,TECH-015,WS-002,Wear and tear on brake components,"Replaced brake rotors, calipers",Routine medium maintenance,2025-09-21T22:26:25.973928
REC-VEH-1003-299,VEH-1003,2025-09-11T22:26:25.974132,preventive,electrical,low,['battery'],271.57,3.5,TECH-007,WS-001,Wear and tear on electrical components,Replaced battery,Routine low maintenance,2025-10-31T22:26:25.974132
REC-VEH-1003-151,VEH-1003,2026-02-06T22:26:25.974346,preventive,transmission,medium,"['transmission fluid', 'synchros']",616.68,7.0,TECH-004,WS-001,Wear and tear on transmission components,"Replaced transmission fluid, synchros",Routine medium maintenance,2026-05-01T22:26:25.974346
REC-VEH-1003-361,VEH-1003,2025-07-11T22:26:25.974555,preventive,transmission,low,['clutch'],268.3,3.0,TECH-010,WS-002,Wear and tear on transmission components,Replaced clutch,Routine low maintenance,2025-08-29T22:26:25.974555
REC-VEH-1003-23,VEH-1003,2026-06-14T22:26:25.974776,preventive,brake,low,['calipers'],273.65,5.4,TECH-009,WS-001,Wear and tear on brake components,Replaced calipers,Routine low maintenance,2026-09-08T22:26:25.974776
REC-VEH-1003-191,VEH-1003,2025-12-28T22:26:25.975021,preventive,brake,medium,"['brake pads', 'calipers']",849.16,10.3,TECH-002,WS-004,Wear and tear on brake components,"Replaced brake pads, calipers",Routine medium maintenance,2026-03-17T22:26:25.975021
REC-VEH-1003-57,VEH-1003,2026-05-11T22:26:25.975230,predictive,transmission,critical,"['transmission fluid', 'gears', 'clutch', 'synchros']",5251.38,72.6,TECH-011,WS-003,Wear and tear on transmission components,"Replaced transmission fluid, gears, clutch, synchros",Routine critical maintenance,2026-07-13T22:26:25.975230
REC-VEH-1003-295,VEH-1003,2025-09-15T22:26:25.975437,preventive,engine,low,['spark plugs'],247.91,3.8,TECH-019,WS-004,Wear and tear on engine components,Replaced spark plugs,Routine low maintenance,2025-12-06T22:26:25.975437
REC-VEH-1004-139,VEH-1004,2026-02-18T22:26:25.975683,preventive,electrical,low,['starter motor'],198.24,4.8,TECH-008,WS-002,Wear and tear on electrical components,Replaced starter motor,Routine low maintenance,2026-04-19T22:26:25.975683
REC-VEH-1004-289,VEH-1004,2025-09-21T22:26:25.975902,predictive,electrical,medium,"['wiring harness', 'alternator']",691.39,10.9,TECH-015,WS-003,Wear and tear on electrical components,"Replaced wiring harness, alternator",Routine medium maintenance,2025-11-04T22:26:25.975902
REC-VEH-1004-114,VEH-1004,2026-03-15T22:26:25.976104,preventive,electrical,medium,"['starter motor', 'wiring harness']",744.26,11.1,TECH-018,WS-003,Wear and tear on electrical components,"Replaced starter motor, wiring harness",Routine medium maintenance,2026-04-26T22:26:25.976104
REC-VEH-1004-188,VEH-1004,2025-12-31T22:26:25.976411,predictive,engine,low,['piston rings'],232.16,2.6,TECH-009,WS-002,Wear and tear on engine components,Replaced piston rings,Routine low maintenance,2026-02-22T22:26:25.976411
REC-VEH-1004-111,VEH-1004,2026-03-18T22:26:25.976688,predictive,transmission,medium,"['synchros', 'gears']",787.22,10.9,TECH-004,WS-002,Wear and tear on transmission components,"Replaced synchros, gears",Routine medium maintenance,2026-05-13T22:26:25.976688
REC-VEH-1004-161,VEH-1004,2026-01-27T22:26:25.976934,corrective,transmission,low,['transmission fluid'],251.29,5.9,TECH-013,WS-003,Wear and tear on transmission components,Replaced transmission fluid,Routine low maintenance,2026-03-25T22:26:25.976934
REC-VEH-1004-183,VEH-1004,2026-01-05T22:26:25.977145,preventive,electrical,high,"['starter motor', 'battery', 'alternator']",1980.75,24.6,TECH-015,WS-004,Wear and tear on electrical components,"Replaced starter motor, battery, alternator",Routine high maintenance,2026-04-04T22:26:25.977145
REC-VEH-1004-61,VEH-1004,2026-05-07T22:26:25.977362,predictive,electrical,medium,"['starter motor', 'wiring harness']",693.15,7.4,TECH-005,WS-001,Wear and tear on electrical components,"Replaced starter motor, wiring harness",Routine medium maintenance,2026-06-29T22:26:25.977362
REC-VEH-1004-84,VEH-1004,2026-04-14T22:26:25.977587,corrective,tire,low,['wheel bearings'],269.09,2.6,TECH-005,WS-002,Wear and tear on tire components,Replaced wheel bearings,Routine low maintenance,2026-07-12T22:26:25.977587
REC-VEH-1004-190,VEH-1004,2025-12-29T22:26:25.977807,predictive,tire,medium,"['tires', 'wheel bearings']",712.01,7.4,TECH-016,WS-001,Wear and tear on tire components,"Replaced tires, wheel bearings",Routine medium maintenance,2026-03-20T22:26:25.977807
REC-VEH-1004-339,VEH-1004,2025-08-02T22:26:25.978013,preventive,engine,high,"['oil filter', 'piston rings', 'air filter']",2068.1,27.3,TECH-006,WS-002,Wear and tear on engine components,"Replaced oil filter, piston rings, air filter",Routine high maintenance,2025-10-08T22:26:25.978013
REC-VEH-1004-42,VEH-1004,2026-05-26T22:26:25.978206,corrective,electrical,high,"['battery', 'alternator', 'starter motor']",1799.03,26.3,TECH-003,WS-001,Wear and tear on electrical components,"Replaced battery, alternator, starter motor",Routine high maintenance,2026-08-18T22:26:25.978206
REC-VEH-1004-333,VEH-1004,2025-08-08T22:26:25.978426,preventive,brake,medium,"['brake fluid', 'calipers']",849.86,10.8,TECH-013,WS-001,Wear and tear on brake components,"Replaced brake fluid, calipers",Routine medium maintenance,2025-10-05T22:26:25.978426
REC-VEH-1004-27,VEH-1004,2026-06-10T22:26:25.978649,corrective,electrical,high,"['battery', 'wiring harness', 'starter motor']",1671.73,26.3,TECH-007,WS-004,Wear and tear on electrical components,"Replaced battery, wiring harness, starter motor",Routine high maintenance,2026-08-07T22:26:25.978649
REC-VEH-1004-350,VEH-1004,2025-07-22T22:26:25.978884,preventive,transmission,medium,"['clutch', 'synchros']",862.12,9.5,TECH-010,WS-003,Wear and tear on transmission components,"Replaced clutch, synchros",Routine medium maintenance,2025-10-18T22:26:25.978884
REC-VEH-1005-65,VEH-1005,2026-05-03T22:26:25.979108,predictive,engine,medium,"['air filter', 'spark plugs']",853.32,8.5,TECH-016,WS-002,Wear and tear on engine components,"Replaced air filter, spark plugs",Routine medium maintenance,2026-06-05T22:26:25.979108
REC-VEH-1005-243,VEH-1005,2025-11-06T22:26:25.979340,predictive,electrical,medium,"['alternator', 'starter motor']",808.02,9.6,TECH-014,WS-002,Wear and tear on electrical components,"Replaced alternator, starter motor",Routine medium maintenance,2025-12-25T22:26:25.979340
REC-VEH-1005-202,VEH-1005,2025-12-17T22:26:25.979725,corrective,brake,high,"['brake fluid', 'brake rotors', 'brake pads']",1798.03,23.1,TECH-011,WS-003,Wear and tear on brake components,"Replaced brake fluid, brake rotors, brake pads",Routine high maintenance,2026-02-11T22:26:25.979725
REC-VEH-1005-132,VEH-1005,2026-02-25T22:26:25.979930,preventive,engine,low,['air filter'],195.61,3.5,TECH-013,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2026-04-28T22:26:25.979930
REC-VEH-1005-236,VEH-1005,2025-11-13T22:26:25.980097,corrective,engine,high,"['oil filter', 'spark plugs', 'piston rings']",1967.96,25.5,TECH-001,WS-002,Wear and tear on engine components,"Replaced oil filter, spark plugs, piston rings",Routine high maintenance,2025-12-19T22:26:25.980097
REC-VEH-1005-173,VEH-1005,2026-01-15T22:26:25.980273,corrective,brake,low,['calipers'],288.88,4.3,TECH-010,WS-002,Wear and tear on brake components,Replaced calipers,Routine low maintenance,2026-03-12T22:26:25.980273
REC-VEH-1005-159,VEH-1005,2026-01-29T22:26:25.980464,corrective,transmission,high,"['clutch', 'transmission fluid', 'gears']",2039.16,22.5,TECH-008,WS-002,Wear and tear on transmission components,"Replaced clutch, transmission fluid, gears",Routine high maintenance,2026-04-23T22:26:25.980464
REC-VEH-1005-311,VEH-1005,2025-08-30T22:26:25.980657,corrective,brake,low,['brake pads'],227.15,2.8,TECH-002,WS-001,Wear and tear on brake components,Replaced brake pads,Routine low maintenance,2025-11-11T22:26:25.980657
REC-VEH-1005-233,VEH-1005,2025-11-16T22:26:25.980804,preventive,transmission,high,"['clutch', 'transmission fluid', 'synchros']",1684.72,26.6,TECH-011,WS-003,Wear and tear on transmission components,"Replaced clutch, transmission fluid, synchros",Routine high maintenance,2026-01-30T22:26:25.980804
REC-VEH-1005-198,VEH-1005,2025-12-21T22:26:25.980945,preventive,transmission,medium,"['clutch', 'synchros']",666.41,6.8,TECH-012,WS-004,Wear and tear on transmission components,"Replaced clutch, synchros",Routine medium maintenance,2026-02-17T22:26:25.980945
REC-VEH-1005-292,VEH-1005,2025-09-18T22:26:25.981204,predictive,brake,low,['brake rotors'],170.16,3.0,TECH-019,WS-004,Wear and tear on brake components,Replaced brake rotors,Routine low maintenance,2025-10-31T22:26:25.981204
REC-VEH-1005-43,VEH-1005,2026-05-25T22:26:25.981515,preventive,engine,high,"['piston rings', 'spark plugs', 'air filter']",1743.59,27.5,TECH-009,WS-003,Wear and tear on engine components,"Replaced piston rings, spark plugs, air filter",Routine high maintenance,2026-07-29T22:26:25.981515
REC-VEH-1006-15,VEH-1006,2026-06-22T22:26:25.981822,corrective,engine,low,['piston rings'],168.13,4.4,TECH-016,WS-003,Wear and tear on engine components,Replaced piston rings,Routine low maintenance,2026-08-07T22:26:25.981822
REC-VEH-1006-177,VEH-1006,2026-01-11T22:26:25.982094,preventive,engine,medium,"['piston rings', 'spark plugs']",873.06,9.4,TECH-012,WS-002,Wear and tear on engine components,"Replaced piston rings, spark plugs",Routine medium maintenance,2026-03-12T22:26:25.982094
